complaint_id,citizen_id,complaint_text,department,resolution_time_days
5328,1933,Scholarship mein OBC category me galat percentage cut,Education Department,16
5676,1836,Witness protection not provided in sensitive murder case,Judicial & Legal Services,28
5535,1587,Brick kiln license application pending for 90 days,Licensing & Regulatory Services,29
5562,1175,Hotel license application documents demanded repeatedly,Licensing & Regulatory Services,16
5359,1554,ST scholarship form rejected without proper reason given,Education Department,31
5670,1760,Execution order not implemented by court for 3 months,Judicial & Legal Services,8
5141,1513,"gaon mein hospital nahi hai, health sub-centre bhi band",Panchayat Department,18
5654,1517,mujhe case ki next date nahi batai gayi court se,Judicial & Legal Services,31
5266,1941,Door-to-door garbage collection stopped in my ward,Urban Administration,11
5198,1339,Waste collection vehicle not coming to ward 8 since weeks,Panchayat Department,45
5177,1462,"gaon mein plastic waste problem, koi collection nahi",Panchayat Department,4
5040,1801,boundary dispute resolution meeting postponed thrice already,Revenue Department,4
5274,1905,Bhawan anumati ke baad occupancy certificate nahi mila,Urban Administration,7
5561,1210,RTO ne vehicle registration challan galat amount ka diya,Licensing & Regulatory Services,14
5765,1398,Forest department ne meri kheti zameen pe kabja kar liya,Agriculture & Forestry,40
5647,1542,Compensation case lapsed as no hearing held for months,Judicial & Legal Services,28
5110,1039,nali ka nirman ghatiya material se kiya gaya hai gaon mein,Panchayat Department,10
5020,2000,patwari ne bribe maanga land record correction ke liye,Revenue Department,4
5741,1833,Seed mini kit not distributed in scheduled village,Agriculture & Forestry,11
5229,1844,Birth certificate application portal not working since days,Urban Administration,13
5673,1119,Land acquisition compensation dispute case very slow,Judicial & Legal Services,24
5543,1329,Solar panel installer registration pending at CREDA,Licensing & Regulatory Services,21
5476,1685,"Ration mein ghaseela chawal aaya, bada problem hua",Social Welfare Department,13
5346,1541,Post matric scholarship status portal error continuously,Education Department,43
5709,1395,Tractor subsidy application rejected without reason,Agriculture & Forestry,44
5289,1084,nagarpalika ne ghar ghar suction nahi kiya mahino se,Urban Administration,9
5402,1528,Widow pension application rejected without valid reason,Social Welfare Department,24
5715,1936,Forest department ne meri kheti zameen pe kabja kar liya,Agriculture & Forestry,28
5025,1062,nakal issuance ke counter pe bahut delay ho raha hai,Revenue Department,30
5117,1379,MGNREGA kaam band ho gaya bina kisi notice ke,Panchayat Department,31
5217,1664,Mosquito fogging not done in colony since 2 months,Urban Administration,31
5299,1879,Construction debris on footpath not cleared by contractor,Urban Administration,44
5076,1987,"talwar pe jameen ka vivaad chal raha hai, sunwai nahi",Revenue Department,16
5827,1861,Doctor ne private hospital refer kar diya without trying,Public Health & Relief,18
5260,1731,Nagar palika ne birth certificate issue karna band kar diya,Urban Administration,25
5022,1778,meri dadi ki zameen ka naam change nahi hua hai abhi tak,Revenue Department,39
5298,1529,"Cable wire hanging low near market, dangerous for traffic",Urban Administration,37
5242,1460,No water supply for 4 days in colony 7 area,Urban Administration,28
5767,1966,Mandi mein fasal ka sahi daam nahi mila aaj tak,Agriculture & Forestry,7
5386,1407,Exam fee submitted but admit card not issued in time,Education Department,42
5380,1880,Practical examination date clash with theory paper,Education Department,5
5029,1623,Land record portal shows wrong owner name in my village,Revenue Department,20
5785,1366,Goat rearing scheme application pending for 5 months,Agriculture & Forestry,40
5453,1662,Disability certificate application pending for 6 months,Social Welfare Department,34
5718,1345,Agriculture extension officer kabhi bhi gaon nahi aata,Agriculture & Forestry,10
5087,1198,Collector office ne koi reply nahi diya meri appeal pe,Revenue Department,12
5182,1417,"Pump operator absent frequently, water not reaching all",Panchayat Department,26
5745,1985,Agricultural pump electricity subsidy stopped suddenly,Agriculture & Forestry,11
5854,1466,Hospital mein medicine stock khatam hai 1 week se,Public Health & Relief,44
5656,1534,court ka notice mila but no service was ever done,Judicial & Legal Services,37
5138,1995,panchayat ne complaint ka koi record hi nahi rakha,Panchayat Department,25
5181,1588,MGNREGA muster roll mein fake entries ho rahi hain,Panchayat Department,8
5748,1043,Crop loan waiver amount credited wrong account,Agriculture & Forestry,45
5238,1990,"bijli ke khambe ke paas paani bhar raha, khatarnaak hai",Urban Administration,9
5815,1795,Swasthya shivir mein galat medicine de di ek patient ko,Public Health & Relief,9
5559,1360,Building plan approval taking more than 90 days at UDH,Licensing & Regulatory Services,27
5892,1495,Health department inspection team ne kuch nahi kiya,Public Health & Relief,44
5731,1612,Forest clearance for farm road not given in 6 months,Agriculture & Forestry,16
5139,1932,Village common land encroached by local influential person,Panchayat Department,19
5754,1358,Crop insurance claim rejected without proper explanation,Agriculture & Forestry,27
5755,1159,PM Kisan installment nahi aai is quarter mein,Agriculture & Forestry,31
5605,1262,NALSA scheme ka laabh nahi mila poor family ko,Judicial & Legal Services,34
5073,1916,Challan for land conversion not processed in 2 months,Revenue Department,39
5333,1420,Class 9 science teacher not available since October,Education Department,22
5650,1192,Labour court judgment execution not done in time,Judicial & Legal Services,9
5838,1709,Water purification tablet kit nahi diya flood area mein,Public Health & Relief,32
5368,1405,Scholarship portal pe login nahi ho raha kabhi kabhi,Education Department,23
5663,1602,Maintenance case hearing postponed 5 times consecutively,Judicial & Legal Services,6
5727,1495,Pashu doctor kabhi bhi available nahi hota hamara area,Agriculture & Forestry,3
5708,1573,Irrigation canal se pani band ho gaya kheti ke season mein,Agriculture & Forestry,6
5123,1075,"samudayik bhavan ka taala band hai, kisi ko access nahi",Panchayat Department,29
5097,1530,tehsildar ke paas complaint di thi koi sunta nahi,Revenue Department,30
5526,1343,Vehicle transport permit renewal delayed by 2 months,Licensing & Regulatory Services,14
5472,1502,Women self help group loan nahi mila 6 mahine se pending,Social Welfare Department,45
5273,1574,"Park in my area overgrown, municipal staff not maintaining",Urban Administration,11
5523,1742,School registration certificate renewal delayed 6 months,Licensing & Regulatory Services,42
5866,1099,Community health worker absent from duty regularly,Public Health & Relief,28
5259,1830,"parking problem near hospital, koi solution nahi mila",Urban Administration,33
5833,1012,Health ID card nahi bana hai mera abhi tak,Public Health & Relief,40
5798,1867,Crop loan waiver amount credited wrong account,Agriculture & Forestry,9
5170,1762,gaon ke kutchha raste mein gitta bichhi nahi gayi abhi tak,Panchayat Department,16
5566,1613,Nursery license application pending at horticulture dept,Licensing & Regulatory Services,7
5814,1805,Free dialysis scheme mein naam hote hue bhi denied,Public Health & Relief,20
5455,1641,Ration card abhi tak nahi bana hai 1 saal ho gaya,Social Welfare Department,3
5586,1646,CGPDTM registration pending for new small business,Licensing & Regulatory Services,20
5460,1642,Orphan child support scheme nahi mili family ko,Social Welfare Department,26
5855,1454,Aayushman card se treatment deny kar diya hospital ne,Public Health & Relief,30
5080,1439,tehsil se pending nahi nikal raha kisi ka bhi document,Revenue Department,34
5679,1808,Public prosecutor absent during important hearing today,Judicial & Legal Services,29
5403,1151,Disability certificate application pending for 6 months,Social Welfare Department,44
5063,1872,revenue inspector ne site visit nahi ki abhi tak,Revenue Department,23
5823,1709,Emergency ward mein nurse ne sahi treatment nahi ki,Public Health & Relief,42
5028,1354,Stamp duty calculation dispute not resolved by sub-registrar,Revenue Department,41
5818,1260,PHC ke bahar chhote bachche ka ilaj nahi hua properly,Public Health & Relief,19
5005,1770,"khasra number correction ke liye apply kiya tha, koi jawab nahi",Revenue Department,12
5408,1129,Pension amount credited to wrong bank account last month,Social Welfare Department,24
5601,1733,"Legal aid request sent 3 months ago, no lawyer assigned",Judicial & Legal Services,20
5147,1827,"Gram panchayat ka noticeboard blank, koi suchna nahi",Panchayat Department,4
5304,1495,"Textbooks distributed late, students suffered 2 months",Education Department,21
5881,1777,TB patient medication supply irregular at local PHC,Public Health & Relief,27
5611,1763,Lok adalat settlement nahi hua despite both parties there,Judicial & Legal Services,23
5776,1684,Rubber plantation scheme laabh nahi mila tribal community,Agriculture & Forestry,11
5666,1452,"Case documents lost by court staff, no acknowledgment",Judicial & Legal Services,20
5282,1500,Illegal hoarding put on public park boundary wall,Urban Administration,39
5887,1535,"NHM nurse struck off duty, ward empty without notice",Public Health & Relief,11
5396,1933,Post matric scholarship status portal error continuously,Education Department,5
5621,1758,Summons not served to defendant despite court order,Judicial & Legal Services,31
5027,1024,Digitization error in old khasra records not corrected,Revenue Department,3
5459,1537,Mukhyamantri suposhan abhiyan ka laabh nahi mila,Social Welfare Department,44
5075,1801,nakal issuance ke counter pe bahut delay ho raha hai,Revenue Department,4
5662,1927,Police ne FIR likhne se mana kar diya bina reason ke,Judicial & Legal Services,22
5492,1629,Complaint register at social welfare office never updated,Social Welfare Department,41
5069,1365,Inheritance mutation still pending after submitting all papers,Revenue Department,23
5774,1065,"Maize crop loss due to pest, no help from dept",Agriculture & Forestry,37
5664,1218,POSCO case victim ko legal aid nahi mili promptly,Judicial & Legal Services,33
5390,1680,Teacher posted in city but teaching in village on paper,Education Department,19
5884,1409,Dialysis machine at district hospital broken for weeks,Public Health & Relief,30
5053,1903,Property tax demand notice galat amount pe aaya hai,Revenue Department,37
5316,1745,"Merit list wrong hai, mera naam nahi aaya sahi score pe",Education Department,38
5644,1953,Complaint about corrupt judicial process not registered,Judicial & Legal Services,17
5604,1856,mujhe case ki next date nahi batai gayi court se,Judicial & Legal Services,22
5557,1386,Liquor license objection hearing date not given by dept,Licensing & Regulatory Services,17
5006,1367,Nakal of land record not given despite multiple visits,Revenue Department,44
5245,1042,Municipal solid waste dumped near residential area illegally,Urban Administration,20
5041,1594,mujhe apni zameen ki certified copy nahi mil rahi hai,Revenue Department,34
5629,1621,Public prosecutor absent during important hearing today,Judicial & Legal Services,28
5487,1539,Social security allowance not revised despite inflation,Social Welfare Department,38
5066,1703,registry ke baad mutation update nahi hua 4 mahine ho gaye,Revenue Department,26
5332,1471,Disabled student ko wheelchair accessible classroom nahi,Education Department,7
5527,1318,Pharma store license inspection pending since 3 months,Licensing & Regulatory Services,12
5415,1861,"Destitute women shelter overcrowded, basic needs lacking",Social Welfare Department,16
5594,1300,Electrical contractor license renewal rejected unfairly,Licensing & Regulatory Services,45
5495,1694,Foster care application pending for over 4 months now,Social Welfare Department,16
5023,1627,Challan for land conversion not processed in 2 months,Revenue Department,27
5449,1288,Caretaker at old age home behaving rudely with residents,Social Welfare Department,26
5752,1508,Kisan credit card application pending for 3 months,Agriculture & Forestry,26
5292,1777,No water supply for 4 days in colony 7 area,Urban Administration,39
5789,1061,Kisan helpline se koi call back nahi aaya after complaint,Agriculture & Forestry,30
5684,1046,Fast track court hearing postponed due to judge absence,Judicial & Legal Services,5
5849,1081,"Cardiac patient ke liye referral delay hua, patient serious",Public Health & Relief,22
5705,1877,PM Kisan installment nahi aai is quarter mein,Agriculture & Forestry,32
5740,1226,Mango orchard scheme benefits not given to small farmers,Agriculture & Forestry,16
5011,1121,khatauni correction application rejected bina reason bataye,Revenue Department,28
5162,1795,Public toilet at bus stand not being cleaned properly,Panchayat Department,12
5078,1532,Stamp duty calculation dispute not resolved by sub-registrar,Revenue Department,13
5550,1223,Slaughter license renewal application missing from records,Licensing & Regulatory Services,5
5105,1109,road construction kaam adhura chhod diya contractors ne,Panchayat Department,32
5064,1936,Mutation entry gaon ke bahar wali zameen pe galat ho gayi,Revenue Department,37
5031,1884,mera plot ka area wrong mentioned in official records,Revenue Department,28
5717,1038,Mandi mein fasal ka sahi daam nahi mila aaj tak,Agriculture & Forestry,25
5370,1438,Teacher always absent on Mondays and Fridays regularly,Education Department,33
5149,1899,Sarpanch ignoring complaints about illegal construction,Panchayat Department,20
5511,1654,RTO ne vehicle registration challan galat amount ka diya,Licensing & Regulatory Services,45
5423,1967,Social welfare inspector ne bribe maanga pension ke liye,Social Welfare Department,25
5689,1222,Munsif court orders not followed by state agency,Judicial & Legal Services,26
5686,1126,PWD dispute arbitration delayed for 4 months now,Judicial & Legal Services,23
5056,1639,Nakal of land record not given despite multiple visits,Revenue Department,44
5295,1177,Municipal solid waste dumped near residential area illegally,Urban Administration,22
5549,1526,Construction firm registration at PWD not done timely,Licensing & Regulatory Services,34
5096,1921,Wrong entry in inheritance partition document at tehsil,Revenue Department,20
5183,1034,gaon ki seedhi nali mein kaafi dino se pani jam raha,Panchayat Department,37
